game_id,game_url,end_time_utc,rated,time_class,time_control,base_secs,inc_secs,kind,rules,your_side,your_rating,your_result_detail,your_result,opponent_username,opponent_rating,eco,opening_name,termination,moves_count,accuracy_white,accuracy_black
5b661385-c1cf-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44324432073,2022-04-22T00:05:45+00:00,True,rapid,600,,,unknown,chess,black,1373,resigned,L,Aykonn,1392,C50,,Aykonn won by resignation,16,,
f58b7093-c1cf-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44324973971,2022-04-22T00:25:24+00:00,True,rapid,600,,,unknown,chess,white,1382,win,W,coop697,1390,D00,,Sanjaykshetri123 won by resignation,54,,
55d522fa-c1dc-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44330359517,2022-04-22T01:39:56+00:00,True,rapid,600,,,unknown,chess,black,1390,win,W,DDRaval,1360,C25,,Sanjaykshetri123 won - game abandoned,16,,
38dad015-c1dd-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44330420397,2022-04-22T01:49:35+00:00,True,rapid,600,,,unknown,chess,white,1382,resigned,L,waleed133,1406,D00,,waleed133 won by resignation,27,,
76c2a212-c1de-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44331010363,2022-04-22T01:53:50+00:00,True,rapid,600,,,unknown,chess,black,1390,win,W,manger8205,1395,A03,,Sanjaykshetri123 won by checkmate,19,,
359d6d34-c1df-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44331565251,2022-04-22T02:13:34+00:00,True,rapid,600,,,unknown,chess,white,1399,win,W,bustani,1418,D00,,Sanjaykshetri123 won by checkmate,45,,
8e42f214-c265-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44389212303,2022-04-22T18:11:33+00:00,True,rapid,600,,,unknown,chess,black,1407,win,W,violetsgo,1376,D02,,Sanjaykshetri123 won by checkmate,43,62.31,69.95
48c09d38-c269-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44390956405,2022-04-22T18:40:13+00:00,True,rapid,600,,,unknown,chess,black,1416,win,W,topp34,1433,C25,,Sanjaykshetri123 won by resignation,59,,
fd13fa9c-c2a5-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44416791445,2022-04-23T01:41:19+00:00,True,rapid,600,,,unknown,chess,black,1407,resigned,L,faah87,1389,C21,,faah87 won by resignation,13,,
79c620aa-c2a6-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44416823843,2022-04-23T01:42:04+00:00,True,rapid,600,,,unknown,chess,white,1415,win,W,Sopapillaaa,1409,A45,,Sanjaykshetri123 won by resignation,6,,
959b383a-c2a6-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44416831043,2022-04-23T01:45:43+00:00,True,rapid,600,,,unknown,chess,white,1408,resigned,L,ffgghjk,1445,A45,,ffgghjk won by resignation,19,,
16bd3b8c-c2a7-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44417371665,2022-04-23T01:55:47+00:00,True,rapid,600,,,unknown,chess,white,1415,win,W,Ayad22,1373,D00,,Sanjaykshetri123 won by checkmate,42,,
876a2f2b-c2a8-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44417974319,2022-04-23T02:09:18+00:00,True,rapid,600,,,unknown,chess,white,1407,resigned,L,cuongtranlaaine,1429,A43,,cuongtranlaaine won by resignation,48,,
621c403d-c2aa-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44418603323,2022-04-23T02:14:43+00:00,True,rapid,600,,,unknown,chess,black,1415,win,W,rchie383,1420,C21,,Sanjaykshetri123 won by resignation,20,,
26952f26-c2ab-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44419162407,2022-04-23T02:24:50+00:00,True,rapid,600,,,unknown,chess,black,1423,win,W,majeed207,1399,C20,,Sanjaykshetri123 won by resignation,35,,
910af313-c2ac-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44419763717,2022-04-23T02:31:36+00:00,True,rapid,600,,,unknown,chess,black,1416,resigned,L,wengown,1469,A00,,wengown won by resignation,27,,
7fdec823-c2ad-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44419824283,2022-04-23T02:41:25+00:00,True,rapid,600,,,unknown,chess,white,1424,win,W,dewakypas,1399,A40,,Sanjaykshetri123 won by resignation,28,,
e3548daa-c2ae-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44420423657,2022-04-23T02:50:23+00:00,True,rapid,600,,,unknown,chess,black,1432,win,W,naesgnuhc,1408,C45,,Sanjaykshetri123 won by resignation,32,,
54d105c0-c2b0-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44421027461,2022-04-23T02:53:37+00:00,True,rapid,600,,,unknown,chess,white,1423,resigned,L,JorgeP4t3rn1n4,1400,D00,,JorgeP4t3rn1n4 won by resignation,13,,
92ce77ff-c2b0-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44421551635,2022-04-23T03:04:19+00:00,True,rapid,600,,,unknown,chess,white,1431,win,W,COSL-Fairuz,1423,D00,,Sanjaykshetri123 won - game abandoned,34,,
148f3738-c2b2-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44422158473,2022-04-23T03:07:26+00:00,True,rapid,600,,,unknown,chess,black,1424,resigned,L,deden90,1478,A20,,deden90 won by resignation,13,,
82ac74be-c2b2-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44422185703,2022-04-23T03:13:21+00:00,True,rapid,600,,,unknown,chess,black,1416,abandoned,L,Piojo1982,1417,B01,,Piojo1982 won - game abandoned,20,,
a257a9e0-c340-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44483376841,2022-04-23T20:07:20+00:00,True,rapid,600,,,unknown,chess,white,1425,win,W,KNECHTIK2006,1443,A46,,Sanjaykshetri123 won by resignation,12,,
d9cc6cb9-c36c-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44502021739,2022-04-24T01:41:14+00:00,True,rapid,600,,,unknown,chess,white,1433,win,W,BishopPairHell,1428,A80,,Sanjaykshetri123 won by checkmate,89,,
08d939c8-c370-11ec-b2d5-78ac4409ff3c,https://www.chess.com/game/live/44503756319,2022-04-24T01:58:53+00:00,True,rapid,600,,,unknown,chess,black,1426,resigned,L,simontessier007,1471,C30,,simontessier007 won by resignation,33,,
